index	topic	tweets	date	username	likes	retweets	replies	hashtags	class
560	Gerindra Caleg Eks-Koruptor	"22:39, Jokowi: ""Gerindra salah satu parpol paling banyak mengajukan mantan koruptor"" Fakta: ""Merujuk data ICW tersebut, Gerindra ada di urutan ke-2 ..."" Referensi: ""Jokowi Sebut Caleg Eks Koruptor Terbanyak di Gerindra, Bagaimana Data ICW?"" | detikNews, http://bit.ly/2W1wM5V"	2019-01-17 16:03:29+00:00	TurnBackHoax	40	32	42		True News
561	Gerindra Caleg Eks-Koruptor	Jokowi Sebut Gerindra Partai Terbanyak Caleg Eks Koruptor, Faktanya? http://dlvr.it/QwtqpB #Pemilu2019	2019-01-17 15:49:35+00:00	VIVAcoid	39	13	29	#Pemilu2019	True News
562	Gerindra Caleg Eks-Koruptor	Jokowi Sebut Gerindra Partai Terbanyak Caleg Eks Koruptor, Faktanya? https://buff.ly/2QUydzx #Pemilu2019 #DebatPilpres2019 #PresidenJokowi #MarufAmin #PrabowoSubianto #SandiagaUno #VIVAFakta	2019-01-17 16:26:18+00:00	VIVAcoid	19	11	28	#Pemilu2019 #DebatPilpres2019 #PresidenJokowi #MarufAmin #PrabowoSubianto #SandiagaUno #VIVAFakta	True News
563	Gerindra Caleg Eks-Koruptor	= Demensia = 29 Mei 2018, Jokowi Yang Tegaskan : Mantan Napi Koruptor Punya Hak Jadi Caleg, 17 Januari 2019, Jokowi Mempertanyakan Ke Prabowo. Kok Ada Napi Mantan Koruptor Menjadi Caleg Gerindra. https://nasional.kompas.com/read/2018/05/29/18143281/jokowi	2019-01-17 18:56:46+00:00	Cobeh09	15	10	2		Other 2
564	Gerindra Caleg Eks-Koruptor	Jokowi Singgung Caleg Eks Koruptor Partai Gerindra http://metrotvn.ws/ob3Myn5K	2019-01-17 19:09:45+00:00	Metro_TV	12	10	3		True News
565	Gerindra Caleg Eks-Koruptor	Jokowi Sebut Gerindra Partai Terbanyak Caleg Eks Koruptor, Faktanya? Berdasarkan data ICW, ternyata Golka yang paling banyak. Salah lagi dah, nyontek kebanyakan sih 😂 #PASMenang #PrabowoIndonesiaMenang	2019-01-17 18:00:29+00:00	UtuhWibowo	14	7	0	#PASMenang #PrabowoIndonesiaMenang	True News
566	Gerindra Caleg Eks-Koruptor	https://news.detik.com/berita/d-4389697/jokowi-sebut-caleg-eks-koruptor-terbanyak-di-gerindra-bagaimana-data-icw GAK SALAH PAK JOKOWI #JokowiAminMenangDebat Merujuk data ICW, Jokowi menyebut Gerindra punya caleg eks koruptor terbanyak. Benarkah?	2019-01-17 15:47:46+00:00	p_politik	47	5	3	#JokowiAminMenangDebat	False News
567	Gerindra Caleg Eks-Koruptor	Saat itu, Prabowo tak sabar ingin membalas tudingan Jokowi soal Gerindra yang mengusung caleg eks koruptor. Namun, moderator melarangnya. 	2019-01-17 17:38:10+00:00	kompascom	18	4	6		Other 2
568	Gerindra Caleg Eks-Koruptor	.@jokowi bertanya mengenai caleg-caleg dari Partai @Gerindra yang berstatus mantan narapidana koruptor kepada @prabowo. Ia mengatakan berdasarkan data ICW @antikorupsi, ada sejumlah caleg eks koruptor maju dalam pencalonan. Berikut pernyataan keduanya. http://bit.ly/2QWKJym	2019-01-17 15:49:02+00:00	CNNIndonesia	15	3	2		True News
569	Gerindra Caleg Eks-Koruptor	Bagi Jokowi, Gerindra tak serius memerangi korupsi karena masih mengusung caleg eks koruptor. 	2019-01-17 15:54:11+00:00	kumparan	9	2	3		Other 2
570	Gerindra Caleg Eks-Koruptor	Pertanyaan ttg mantan napi koruptor jd caleg gerindra ini menunjukkan Prabowo antara krg belajar atau memang ga cerdas. Pdhl data banyak loh utk menangkis. Ini membuktikan walau ktnya iq Prabowo tinggi, masih kalah dibanding Jokowi.	2019-01-17 23:15:32+00:00	miskiy28	3	2	1		Other 2
571	Gerindra Caleg Eks-Koruptor	Jokowi Singgung Caleg Gerindra Eks Koruptor di Debat, BPN Prabowo: Kenapa Serang Partai?. 	2019-01-17 17:45:39+00:00	okezonenews	3	2	0		Other 2
572	Gerindra Caleg Eks-Koruptor	Jokowi Tanya 6 Caleg Gerindra Mantan Koruptor, Begini Jawaban Prabowo http://jawapos.com/n/276070	2019-01-17 16:41:36+00:00	jawapos	3	2	0		Other 2
573	Gerindra Caleg Eks-Koruptor	Jokowi Sebut Gerindra Terbanyak Ajukan Caleg Koruptor, Siapa Saja Mereka? 	2019-01-17 15:53:10+00:00	triwul82	2	2	2		True News
574	Gerindra Caleg Eks-Koruptor	"""Jokowi mempertanyakan komitmen Prabowo Subianto dan Partai Gerindra dalam pemberantasan korupsi. Jokowi menilai komitmen itu masih rendah. Buktinya, Prabowo masih mengajukan mantan koruptor sebagai Caleg."" Sampai sini pahamkan pertanyaannya, du?"	2019-01-17 17:52:37+00:00	Lhuta_x	2	2	1		Other 2
575	Gerindra Caleg Eks-Koruptor	Jokowi Kritik Gerindra Calonkan Banyak Caleg Koruptor 	2019-01-17 16:05:49+00:00	republikaonline	9	1	17		Other 2
576	Gerindra Caleg Eks-Koruptor	Kata jokowi, laporkan saja jika sebar hoaks. Jokowi menuduh partai @Gerindra paling banyak Caleg eks Koruptor, padahal yg paling banyak adalah Golkar. Berarti tuduhan tsb hoaks dong.	2019-01-17 18:20:00+00:00	Panglima_Nayan	9	1	2		Other 1
577	Gerindra Caleg Eks-Koruptor	Jokowi Singgung Caleg Eks Koruptor Partai Gerindra https://medcom.id/s/ob3Myn5K	2019-01-17 19:09:43+00:00	medcom_id	5	1	0		True News
578	Gerindra Caleg Eks-Koruptor	Serang Gerindra, Ternyata Jokowi Pernah Bilang Eks Napi Koruptor Punya Hak Caleg - http://bit.ly/2FFXkEa #faktaberitafakta	2019-01-17 22:40:46+00:00	swamedium	3	1	1	#faktaberitafakta	Other 1
579	Gerindra Caleg Eks-Koruptor	"CEK FAKTA: Jokowi Kutip ICW Bilang Caleg Eks Koruptor Banyak di Gerindra? https://www.suara.com/news/2019/01/17/230457/cek-fakta-jokowi-kutip-icw-bilang-caleg-eks-koruptor-banyak-di-gerindra?utm_source=twitter.dlvrit&amp;utm_medium=twitter&amp;utm_campaign=suaradotcom"	2019-01-17 16:09:11+00:00	suaradotcom	2	1	1		True News
580	Gerindra Caleg Eks-Koruptor	#DebatPilpres2019 Jokowi : * nanya perihal caleg eks koruptor di partai gerindra * Prabowo : * Justifikasi Klarifikasi Konfirmasi dan tiba tiba * Ya KALO KORUPSINYA TIDAK SEBERAPA SAYA RASA TIDAK MASALAH 	2019-01-17 16:29:22+00:00	Kakanisme	2	1	0	#DebatPilpres2019	Misleading News
581	Gerindra Caleg Eks-Koruptor	Jokowi mengutip data dari Indonesia Corruption Watch (ICW) yang menyebutkan Partai Gerindra terbanyak mengajukan caleg koruptor, yakni ada enam caleg. 	2019-01-17 16:03:10+00:00	kompascom	10	0	4		True News
582	Gerindra Caleg Eks-Koruptor	Emang yang tanda tangani utk meloloskan caleg mantan napi koruptor itu jokowi,...kaan ketum partai,......!!!! Langkah politik yg ringan tapi berakhir nonjok ke uluhati	2019-01-17 17:02:26+00:00	layculai	5	0	1		Other 1
583	Gerindra Caleg Eks-Koruptor	Baru kali ini juga sy liat presiden suka lupa dgn omongannya. Dulu gak setuju dgn aturan KPU bhw napi KORUPTOR tdk boleh nyaleg, lalu jokowi blng semua org punya hak politik. Eh td nya ke PS knp ada caleg Gerindra mantan napi koruptor. Dulu dia yg protes saiki dia nanya #ungud	2019-01-17 16:42:28+00:00	rahmaniarbaftim	5	0	0	#ungud	Other 2
584	Gerindra Caleg Eks-Koruptor	Kamu gak nyimak, yang bertanya itu Jokowi soal kader gerindra eks koruptor jd caleg, dijawab prabowo bahwa dia tetap anti korupsi, nah junjunganmu yang lupa dengan apa yang diucapkan beberapa waktu yg lalu, jejak digital mmg menyakitkan	2019-01-17 16:16:26+00:00	PeriRiduan	2	0	2		Other 2
585	Gerindra Caleg Eks-Koruptor	Kalau melihat debat tadi malam, kita spt melihat Jokowi punya dua otak yang berbeda. Disatu kesempatan dia mengatakan Mantan Napi Koruptor punya hak jadi Caleg, tapi didebat tadi malam mempertanyakan kenapa Caleg Gerindra ada yg mantan Napi koruptor. Apa engga dungu itu namanya?	2019-01-17 23:23:15+00:00	abu_waras	2	0	0		True News
586	Gerindra Caleg Eks-Koruptor	@jokowi : Ada 6 Caleg Partai Gerindra yang berstatus Ex-Napi Koruptor. Prabohong : ya kan korupsinya juga gak seberapa, bla bla bla. *Se-Indonesia Tertawa Terpingkal-pingkal*	2019-01-17 20:24:07+00:00	davinlin_	2	0	0		False News
587	Gerindra Caleg Eks-Koruptor	Blunder Besar! Serang Gerindra, Ternyata Jokowi Pernah Bilang Eks Napi Koruptor Punya Hak Caleg http://www.jaringmediaumat.ga/2019/01/blunder-besar-serang-gerindra-ternyata.html #2019PrabowoPresidenRI	2019-01-17 19:00:44+00:00	FaktaSehatOL	2	0	0	#2019PrabowoPresidenRI	Other 1
588	Gerindra Caleg Eks-Koruptor	@jokowi Menang. prabowo yg plonga plongo dan blunder. tentang caleg gerindra yg paling banyak mantan koruptor. prabowo akui... 🤣 #DebatPilpres2019	2019-01-17 15:51:25+00:00	captain_indo	2	0	0	#DebatPilpres2019	Other 1
589	Gerindra Caleg Eks-Koruptor	Pas disinggung gerindra mencalonkan eks napi koruptor sebagai caleg sama Pak Jokowi 😂	2019-01-17 15:47:07+00:00	_stitsi	2	0	0		True News
590	Gerindra Caleg Eks-Koruptor	Semua caleg dari partai pendukung jokowi tdk ada mantan koruptor. Caleg dari PKS tdk ada mantan koruptor. Nahh caleg dari gerindra paling banyak dari mantan koruptor. Klirr.	2019-01-17 16:24:11+00:00	muhamma87797215	0	0	2		False News
591	Gigi Prabowo Sandi	"[SALAH] ""BAND GIGI FOR PRABOWO SANDI"" Foto yang digunakan oleh post SUMBER adalah kegiatan Gigi yang mendukung BNI dalam acara Festival Indonesia di Tokyo, Jepang. Selengkapnya di bagian PENJELASAN dan REFERENSI. http://bit.ly/2TnxzwJ #LawanHoax"	2018-11-17 17:19:53+00:00	TurnBackHoax	53	132	16	#LawanHoax	True News
592	Gigi Prabowo Sandi	"[BENAR] Klarifikasi GIGI Mengenai ""Band Gigi for Prabowo Sandi"" ""GIGI sangat menghormati asas LUBER dari Pemilihan Umum (Langsung Umum Bebas dan Rahasia) dan sejak Pilpres di tahun sebelum-sebelumnya hingga saat ini GIGI belum pernah ..."" http://bit.ly/2DuTbls #LawanHoax"	2018-11-19 08:52:09+00:00	TurnBackHoax	5	14	1	#LawanHoax	True News
593	Gigi Prabowo Sandi	"GIGI Band For ☞ Prabowo Sandi Kata Cebong : ""Panas' Panas, Panas' Panas, Badan ini. Pusing' Pusing, Pusing' Pusing KepaLa ini"" Cebong Kepanasan, Gak Dapet Dukungan #Nomor2 #2019PrabowoSandi #2019GantiPresiden"	2018-11-17 10:01:56+00:00	AdharKhanif	15	8	3	#Nomor2 #2019PrabowoSandi #2019GantiPresiden	False News
594	Gigi Prabowo Sandi	*Daripada sakit hati lbh baik sakit gigi , daripada milih Mukidi lbh baik Pak Prabowo Sandi*, 	2018-11-20 12:42:48+00:00	Taufikabd5	2	0	0		Other 1
595	Gigi Prabowo Sandi	Wwwwooowwww ...... 😲😲😲😲😲😲😲😲 SBY Siap Kampanyekan Prabowo-Sandi, PKS: Kita Pasang ‘Gigi Empat‘ di Bulan Maret 	2018-11-19 06:22:42+00:00	Boemi_Pertiwi12	1	0	2		Other 1
596	Grace Natalie Ajak Makan Babi	Video @grace_nat, Ketum @psi_id, yang mengajak makan bakmi setelah selesai Pemilu ini diedit sejumlah orang jahat menjadi ajakan makan babi. Kenapa sih orang-orang ini? Berpolitik kok kotor begitu? Takut amat sama partai baru. Ikut komen. Geregetan dimention akun2 jahat itu. 	2019-04-16 16:30:37+00:00	saidiman	1077	732	181		True News
597	Grace Natalie Ajak Makan Babi	"Lha wong @grace_nat bilang makan ""bakmi"" kok dibilang makan ""babi"" 😂😂😂 "	2019-04-16 15:52:52+00:00	Dennysiregar7	469	96	143		True News
598	Grace Natalie Ajak Makan Babi	"Ketum PSI Grace Natalie menepis isu liar mengajak warga makan babi setelah Pemilu 2019. Grace menyebut pernyataannya itu dipelintir. https://news.detik.com/berita/d-4513477/ketum-psi-tepis-hoax-ajak-warga-makan-babi-usai-pemilu?utm_term=echoboxauto&amp;utm_campaign=detikcomsocmed&amp;utm_medium=oa&amp;utm_content=detikcom&amp;utm_source=Twitter#Echobox=1555440372"	2019-04-16 18:46:12+00:00	detikcom	143	37	139		True News
599	Grace Natalie Ajak Makan Babi	Kalo ada publik figure baik Si @grace_nat, atau komika yang umbar2 mau makan Babi di Sosmed, sesungguhnya mereka lagi nyinyirin Umat Islam kata Gua mah.. Secara Ummat Islam, sangat jijik dengan Babi itu. Haram..	2019-04-16 15:54:31+00:00	conan_idn	23	6	7		False News
600	Grace Natalie Ajak Makan Babi	Video si grace ngajak makan babi kenapa di viralin..?????Emang maunya dia buat tweet model begitu. Biar di inget orang... Stop..jangan diretwet. #GerakanSubuhAkbarIndonesia #GerakanSubuhAkbarIndonesia #GerakanSubuhAkbarIndonesia	2019-04-16 15:58:18+00:00	nina_mayoni	14	3	1	#GerakanSubuhAkbarIndonesia #GerakanSubuhAkbarIndonesia #GerakanSubuhAkbarIndonesia	False News
601	Grace Natalie Ajak Makan Babi	#GerakanSubuhAkbarIndonesia Parah si grace ini, artinya dia ngajak yg muslim makan babi sama2... Adohhhhhh kadernya yg muslim kmana otak anda itu	2019-04-16 16:23:17+00:00	evand_7dragon	5	1	1	#GerakanSubuhAkbarIndonesia	False News
602	Grace Natalie Ajak Makan Babi	Makan daging babi aja di pamerin,,,, ga ada yg istimewakan dlm kehilangan si grace	2019-04-16 15:29:40+00:00	HeriawanAdiwan2	4	1	0		False News
603	Grace Natalie Ajak Makan Babi	Biarin Si Grace Makan Babi bareng same abu jande albangsati	2019-04-16 23:50:35+00:00	NcangBeni	3	1	4		False News
604	Grace Natalie Ajak Makan Babi	Jiaaaaaah urusannya apa. Kedengerannya jelas Bakmi koq. Toh kalau dia mau makan Babi itu urusan dia. Dr pada fitnah sama dengan makan bangkai.. Untukmu Agamamu dan untukkulah agamaku... Dalami arti tsb	2019-04-16 17:35:25+00:00	LambeDowerrr	3	0	1		True News
605	Grace Natalie Ajak Makan Babi	Sist @grace_nat, sy peringatkan anda, jgn ajak kami makan babi donk. Anda boleh ajak rajajuli, atw gunromlah dll. Trpnting pikir kan bgmna caranya hilangkan label PARNOKO dn cheerleader...itu aja.	2019-04-16 15:45:19+00:00	MahaD3w4	3	0	0		False News
606	Grace Natalie Ajak Makan Babi	Siiip mba Grace..semoga hbs makan babi trs kamu meninggal... Allahuma ya Allah...matikan dia dgn penuh kehinaan.	2019-04-16 16:08:07+00:00	odymohamad	2	0	0		False News
607	Grace Natalie Ajak Makan Babi	Dr mid volume to high volume ..dr mid to close ear range dan didengar berulang2..dia ngomong makan babi..	2019-04-16 17:03:34+00:00	deryQyu	1	0	3		False News
608	Grace Natalie Ajak Makan Babi	Lagian kalo sis grace ajak makan babi, yg ga mao makan babi ya ga usah tanggepin. Saya sih dengernya makan bakmi, dan akan saya tagih makan bakmi 🤣🤣 on u ya sis pokoke.	2019-04-16 16:20:47+00:00	leehandoko	1	0	2		True News
609	Grace Natalie Ajak Makan Babi	Makan bakmi knp bisa jd makan babi? @psi_id @grace_nat https://twitter.com/anonLokal/status/1118167708065886208?s=19	2019-04-16 15:45:34+00:00	lodysiegers	1	0	2		True News
610	Grace Natalie Ajak Makan Babi	Kalian pasti ngajak milih PSI gara2 pengen diajak makan babi ya? Barusan liat video ajakan dari grace natalie 😂	2019-04-16 17:07:19+00:00	ri2ndrie	0	0	3		False News
611	Grace Natalie Ajak Makan Babi	Lu udh liat pidio tolil yg fitnah,grace ngajakin makan bakmi tp diblg babi? Lagian kenapa emg kalo makan babi 😒	2019-04-16 16:45:23+00:00	chubycheek	0	0	2		True News
612	Guru Ancam Penggal Jokowi	Deretan Fakta dari Klarifikasi Guru SD Sukabumi yang Dituduh Netizen Perekam Video Ancam Presiden http://bit.ly/2Q3fnaD	2019-05-13 07:05:01+00:00	terasid	8	5	1		True News
613	Guru Ancam Penggal Jokowi	Ibu Agnes, guru di Sukabumi itu bukan perekam adegan ancam penggal kepala. Ketahuilah itu wahai warganet yang maha kuasa.	2019-05-12 23:43:26+00:00	telukjambe	14	4	0		True News
614	Guru Ancam Penggal Jokowi	[VIDEO] Guru di Sukabumi Bantah Terlibat Video Ancam Presiden http://dlvr.it/R4c20R	2019-05-13 14:00:34+00:00	KompasTV	2	3	2		True News
615	Guru Honorer Demonstran Meninggal	Inallilahi waa inalilahi raziun,, 5 orang guru honorer demonstran di depan istana di laporkan meninggal https://m.liputan6.com/news/read/2434768/5-guru-honorer-demonstran-di-istana-dilaporkan-meninggal-dunia	2018-11-01 10:42:31+00:00	apriduff63	65	66	9		False News
616	Guru Honorer Demonstran Meninggal	Pas ada demo guru honorer pada mingkem dah. Eeeh, giliran ada demonstran honorer boyolali ributnya kayak minyak goreng Sontoloyo. 😂	2018-11-04 16:10:03+00:00	Stevaniehuangg	111	40	9		Other 1
617	Guru Honorer Demonstran Meninggal	[Cek Fakta] Hoaks Jokowi Abaikan Guru Honorer Demonstran yang Meninggal 	2018-11-02 13:35:48+00:00	liputan6dotcom	19	17	9		True News
618	Guru Honorer Demonstran Meninggal	Innalillahi ... 5 Guru Honorer Demonstran di Istana Dilaporkan Meninggal Dunia https://m.liputan6.com/news/read/2434768/5-guru-honorer-demonstran-di-istana-dilaporkan-meninggal-dunia#	2018-11-01 07:14:59+00:00	didienAZHAR	6	4	0		False News
619	Guru Honorer Demonstran Meninggal	Kini bara api pengangkatan PNS ini menjadi ancaman yang serius bagi petahana. Para demonstran guru honorer bisa dikatakan memiliki bargaining position yang kuat mengingat banyaknya jumlah mereka sebagai calon pemilih. #indepth http://ow.ly/pL9M30mtYd4	2018-11-04 13:00:35+00:00	pinterpolitik	0	2	0	#indepth	Other 1
620	Guru Honorer Demonstran Meninggal	Demonstran guru honorer (K2) mau ketemu tak bisa dadakan kata pejabat KSP... Mas Jokowi malah nyambangi pedagang sayur malam itu.... Sekarang malah selfie dgn rombongan motor..... JADI PEMIMPIN PEKALAH TERHADAP MASALAH ANAK BANGSA SEDIKIT....PAK... #2019BLIOMUTLAKHARUSDIGANTI	2018-11-04 17:34:32+00:00	FRD79095296	2	1	0	#2019BLIOMUTLAKHARUSDIGANTI	Other 1
621	Guru Honorer Demonstran Meninggal	Guru honorer lagi? Palingan guru2 yg demo di istana ithu suruhan kubu sebelah..di ntt gubernur menawarkan para guru honor untuk berahli profesi menjadi wirausaha.tapi guru2 honor di ntt tidak ada demonstran segala.	2018-11-01 02:26:56+00:00	Erman07346909	0	0	2		False News
622	Gus Sholah Acara Dukungan Prabowo	Klarifikasi Gus Sholah mengenai pencantuman namanya dalam acara hizib nasional dan Deklarasi dukungan terhadap Prabowo- Sandiaga Uno 	2019-03-04 05:27:57+00:00	tebuirengonline	108	60	3		False News
623	Hari Poligami PKS	PKS Laporkan Akun Penyebar Hari Poligami Nasional ke Polisi 	2019-03-06 09:11:15+00:00	republikaonline	6	6	2		True News
624	Hari Poligami PKS	PKS mau bikin hari poligami nasional itu hoax ya, jangan sebarkan.	2019-03-03 05:03:41+00:00	telukjambe	8	4	0		True News
625	Hari Poligami PKS	PKS angkat bicara soal adanya sejumlah poster berisi lambang PKS yang menyebut tanggal 1 Maret Hari Poligami Nasional. Menurut PKS, poster itu adalah hoax. http://bit.ly/2BW3yNF	2019-03-03 10:46:20+00:00	detikcom	5	3	4		True News
626	Hari Poligami PKS	"PKS: 1 MARET HARI POLIGAMI NASIONAL [DISINFORMASI] FABRICATED CONTENT ""Ditetapkan 1 maret sebagai Hari Poligami Nasional adalah bukti keseriusan Prabowo dalam usahanya menjadikan Poligami sebagai program nasional"" Selengkapnya di http://bit.ly/2C3cCjI #JabarHantamHoaks"	2019-03-05 06:09:12+00:00	jabarsaberhoaks	1	3	0	#JabarHantamHoaks	True News
627	Hari Poligami PKS	PKS Disebut Canangkan 1 Maret sebagai Hari Poligami Nasional, Ini Faktanya. https://news.okezone.com/read/2019/03/04/337/2025512/pks-disebut-canangkan-1-maret-sebagai-hari-poligami-nasional-ini-faktanya	2019-03-04 06:26:56+00:00	okezonenews	0	3	0		True News
628	Harun Remaja Syahid	[SALAH] Harun, Remaja yang Dianiaya Depan Masjid Al Huda Dikabarkan Mati Syahid Polri akan melakukan pemeriksaan internal karena tindakan pemukulan tak dapat dibenarkan. Selain itu, narasi yang beredar tak sesuai fakta di ... Selengkapnya di http://bit.ly/2K455WA #LawanHoax	2019-05-25 11:48:33+00:00	TurnBackHoax	150	213	36	#LawanHoax	True News
629	Harun Remaja Syahid	dapat info mohon dicek kebenarannya , anak bernama Harun (15) warga Duri Kepa, Kebon Jeruk Jakarta Barat yg disiksa oknum di Komplek Masjid Al Huda ini, Syahid hari ini. Semoga Almarhum ditempatkan di tempat yg terbaik disisi Allah SWT, Amiiiin #DiskualifikasiJokowi pic.twitter.com/mtvKBskOdC	2019-05-24 03:08:38+00:00	imau_rokan	128	80	35	#DiskualifikasiJokowi	Misleading News
630	Harun Remaja Syahid	Perjuanganmu masih terlalu berat... Nak !! 😭😭😭 Nama : Harun Usia : 15 tahun. Warga : Duri Kepa, Kebon Jeruk Jakarta Barat Syahid: Di komplek Masjid Al Huda. Nama : M. Reyhan Fajri Usia : 16 tahun Warga : Jakarta Pusat. Syahid: Di RSAL Mintoharjo. Next 👉👇 	2019-05-24 13:05:05+00:00	zaenal_zie	28	15	3		Misleading News
631	Harun Remaja Syahid	Innalillahi-wainnailaihi-raajiuun. Sy dikabari, anak bernama Harun (15) warga Duri Kepa, Kebon Jeruk Jakarta Barat yg disiksa oknum di Komplek Masjid Al Huda ini, Syahid hari ini. Semoga Almarhum ditempatkan di tempat yg terbaik disisi Allah SWT, Amiiiin YRA 😭🤲 	2019-05-24 06:59:06+00:00	bangZhack68	13	8	7		Misleading News
632	Harun Remaja Syahid	"https://www.portal-islam.id/2019/05/innalillahi-remaja-yang-dianiaya-depan.html ""Innalillahi-wainnailaihi-raajiuun. Sy dikabari, anak bernama Harun (15) warga Duri Kepa, Kebon Jeruk Jakarta Barat yg disiksa oknum di Komplek Masjid Al Huda ini, Syahid hari ini. Semoga Almarhum ditempatkan di tempat yg terbaik disisi Allah SWT, Amiiiin"	2019-05-24 09:15:33+00:00	juhdi_m	9	4	1		Misleading News
633	Harun Remaja Syahid	Innalillahi-wainnailaihi-raajiuun. dikabari, anak bernama Harun (15) warga Duri Kepa, Kebon Jeruk Jakarta Barat yg disiksa oknum di Komplek Masjid Al Huda ini, Syahid hari ini. Semoga Almarhum ditempatkan di tempat yg terbaik disisi Allah SWT, Amiiiin YRA 😭🤲 	2019-05-24 07:01:55+00:00	bangZhack68	5	2	0		Misleading News
634	Harun Remaja Syahid	INNALILAHI WA'INNAILAIHI ROJI'UN 😭😭 SELAMAT JLN ADIK SAYANK, SYURGA MU MENANTI MU..🙏 Anak yang bernama.,HARUN 15 thn Warga duri kepo kebun jeruk Jakarta barat.Korban yang disiksa (aniaya) Tempat di komplek masjid AL Huda ini syahid hari ini. Semoga husnul khotim aamiiiiin.🙏 	2019-05-24 09:20:42+00:00	Yunita29cuite	3	1	6		Misleading News
635	Hasil Perhitungan Suara Luar Negeri	[SALAH] “Hasil perhitungan sementara diluar negri luarbiasa” Komisioner KPU RI, Hasyim Asy’ari menegaskan informasi soal beredarnya perolehan suara Pemilu 2019 di luar negeri tidak dapat ... Selengkapnya di bagian PENJELASAN dan REFERENSI. http://bit.ly/2Ip0HRb #LawanHoax	2019-04-10 09:37:29+00:00	TurnBackHoax	86	134	12	#LawanHoax	True News
636	Hasil Perhitungan Suara Luar Negeri	Hasil perhitungan suara luar Negeri adalah HOAX KPU tegaskan penyelengaraan perhitungan Suara di Luar Negeri akan tetap sama dgan dlm Negeri ,walaupun luar Negeri pemilihan lebih Awal 	2019-04-10 16:02:05+00:00	Namaku_Mei	47	35	10		True News
637	Hasil Perhitungan Suara Luar Negeri	"Haiti Haiti sama Celotehan Kampret Perihal Hasil Perhitungan Pemilu di Luar Negeri itu Hoax &gt;&gt; KPU: Info Hasil Pemilu Luar Negeri Hoax - VIVA "	2019-04-10 09:31:58+00:00	MasTBP_	5	3	2		True News
638	Hasil Perhitungan Suara Luar Negeri	GK usah PD latah RT like komen share hasil perhitungan suara luar negeri yg blm jelas sumbernya Inget nyebar hoax kena pasal ,ini rezim tangan besi Tunggu aj hsl dr KPU, sabar tahan nafas ..	2019-04-10 08:00:24+00:00	xline_id	5	3	0		True News
639	Hasil Perhitungan Suara Luar Negeri	Koalisi yg dibangun di atas fondasi hoax, maka akan selalu produksi hoax. Sehari sebelumnya katanya hasil perhitungan surat suara di luar negeri, pasangan 02 menang telak. Di hari berikutnya ada hoax baru coblos sendiri, viralin sendiri dan nuduh 01 curang.	2019-04-11 16:50:35+00:00	SudartoToto1	1	2	0		Misleading News
640	Hasil Perhitungan Suara Luar Negeri	Beredar hasil perhitungan suara pemilihan presiden di luar negeri yang memenangkan paslon 02, Prabowo-Sandi. Atas informasi ini, KPU memastikan hal tersebut hoaks. | 	2019-04-10 07:43:02+00:00	Bisniscom	2	1	1		True News
641	Hasil Perhitungan Suara Luar Negeri	Di WA beredar luas hasil perhitungan suara di LN. Ini tentulah HOAX yang nyata. Setahu saya, surat suara hasil pemungutan suara di luar negeri tidak akan langsung dibuka dan dihitung. Penghitungan suara baru dilakukan 17 April.	2019-04-10 06:36:40+00:00	RustamIbrahim	5	0	2		True News
642	Hasil Perhitungan Suara Luar Negeri	Di grup wa kluarga besar (semua pendukung 02) ada yg ngeshare hoax hasil perhitungan pemilu di luar negeri (semua dimenangin paslon 2) Ibuk (satu2nya cebongers di grup) yang jaraaang bgt muncul di grup, tanpa caption tanpa comment apa2 langsung ngirimin ini Hhhjhhh 	2019-04-13 21:44:55+00:00	ninisniso	3	0	4		Other 2
643	Hasil Perhitungan Suara Luar Negeri	HASIL PERHITUNGAN SEMENTARA DILUAR NEGRI LUARBIASA..!! [DISINFORMASI] Beredar broadcast WA tentang hasil perhitungan suara sementara di luar negeri. Setelah kami melakukan penelusuran, dapat dipastikan informasi tersebut adalah SALAH. Selengkapnya di http://bit.ly/2VDON9Q	2019-04-11 08:53:35+00:00	jabarsaberhoaks	2	0	0		True News
644	Hasil Perhitungan Suara Luar Negeri	Hoaks hasil perhitungan suara di luar negeri, Early Voting LN digelar 8 hingga 14 april, hitung suara bersamaan pada hari pemilihan umum didalam negeri, perhitungan pasti akan dilakukan pada tanggal 17 april 2019. #TopNews @Metro_TV http://metrotvnews.com	2019-04-10 14:08:15+00:00	MetroTVToday	1	0	13	#TopNews	True News
645	Hasil Riset Kurang Dimanfaatkan	Ini Hasil Riset http://Booking.com Terkait Perempuan Dalam Industri Teknologi http://dlvr.it/R1GgMS	2019-03-21 13:31:02+00:00	tabloidpulsa	2	1	0		Other 1
646	Hasil Situng KPU Excel	Tidak lama lagi @AyoJagaTps akan mempublish data per tps dalam bentuk excel yang sudah terkategori. Rekan-rekan bisa melakukan cross cek data @AyoJagaTps dibandingkan dgn Situng KPU seperti contoh di gambar terlampir. Stay tune ya di @AyoJagaTps !	2019-04-23 03:02:04+00:00	mjamesf	721	430	138		True News
647	Hasil Situng KPU Excel	Heboh Video Uji Angka Situng KPU di Excel Hasilnya Terbalik #AvengersEndgame https://www.gelora.co/2019/04/heboh-video-uji-angka-situng-kpu-di.html	2019-04-24 01:07:01+00:00	geloraco	284	236	18	#AvengersEndgame	Other 2
